CONCEPT_ID,CONCEPT_HISTORY_ID,CONCEPT_HISTORY_DATE,COMPONENT_ID,COMPONENT_HISTORY_ID,LOGICAL_TYPE,CODELIST_ID,CODELIST_HISTORY_ID,ID,CODE,DESCRIPTION,ATTRIBUTES,RN,CONCEPT_VERSION_ID,CONCEPT_NAME,CODING_SYSTEM,PHENOTYPE_ID,PHENOTYPE_VERSION_ID,PHENOTYPE_NAME,PRIMARY
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169032,H320z,Chronic bullous emphysema NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169033,H321.,Panlobular emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169034,H322.,Centrilobular emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169035,H32y.,Other emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169036,H32y0,Acute vesicular emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169072,H32y1,Emphysema: [acute interstitial] or [atrophic - senile],"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169037,H32y2,MacLeods syndrome,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169038,H32yz,(Sawyer-Jones syndrome) or (other emphysema NOS),"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169039,H32z.,Emphysema NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169040,H3y..,Other specified chronic obstructive airways disease,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169073,H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169074,H3y1.,"Chron obstruct pulmonary dis wth acute exacerbation, unspec","{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169041,H3z..,Chronic obstructive airways disease NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169042,H4640,Chronic emphysema due to chemical fumes,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169043,H4641,Toxic bronchiolitis obliterans,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
