"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
y002T,Prednisolone [see rectal pred] ... Prednisolone [for preparations see rectal prednisolone] ... ,"3","0"
y03Tf,Cefuroxime 5% pres free e/d ... Cefuroxime 5% preservative-free eye drops ... ,"3","1"
y03Ts,Erythroped PI SF 125mg susp ... Erythroped PI SF 125mg/5mL suspension ... ,"3","1"
y03Tt,Erythromycin 500mg e/c tablet ...  ... ,"3","1"
y01J9,Ciprofloxacin [eye] ...  ... ,"3","1"
y0G0J,Methylprednisolone+lidocaine ...  ... ,"3","0"
y01NL,Methylprednisolone acetate ...  ... ,"3","0"
y0CCQ,Erythromycin 2% topical gel ...  ... ,"3","1"
y08DU,Prednisolone [endocrine use] ...  ... ,"3","0"
y0AW0,Vibramycin Acne Pack ...  ... ,"3","1"
Y73ES,Adverse reaction to cefaclor ...  ... ,"3","1"
YaSvZ,Clarithromycin allergy ...  ... ,"3","1"
YaSva,Azithromycin allergy ...  ... ,"3","1"
y00SB,Prednisolone 32mg/2mL inj ... Prednisolone 32mg/2mL injection ... ,"3","0"
y02ZK,Solu-Cortef 100mg inj pdr ... Solu-Cortef 100mg injection (pdr for recon) ... ,"3","0"
y02Za,Methylprednisolone 2mg tablet ...  ... ,"3","0"
y02Zj,Methylpred+lig 40/10mg/1mL inj ... Methylprednisolone acetate+lignocaine HCl 40/10mg/1mL inj ... Methylprednisolone acetate+lignocaine hydrochloride 40/10mg/1mL injection,"3","0"
y02Zp,Prednisolone ...  ... ,"3","0"
y02Zr,Prednisolone 5mg tablet ...  ... ,"3","0"
y02Zv,Deltastab 5mg tablet ...  ... ,"3","0"
y02a1,Prednisolone 5mg e/c tablet ...  ... ,"3","0"
y02a3,Prednisolone 50mg tablet ...  ... ,"3","0"
y00LV,Co-amoxiclav 125mg/mL susp ... Co-amoxiclav 125mg/mL suspension ... ,"3","1"
y03Xa,Vioform Hydrocortisone cream ...  ... ,"3","0"
y03Xc,Hydrocortisone+sodium fusidate ...  ... ,"3","0"
y03Xx,Prednisolone 0.1% eye drops ...  ... ,"3","0"
y03YF,Methylprednisolone+neomycin ...  ... ,"3","0"
y03YI,Prednisolone acetate 1% e/d ... Prednisolone acetate 1% eye drops ... ,"3","0"
y00Nz,Zithromax 40mg/mL susp 22.5mL ... Zithromax 40mg/mL suspension 22.5mL ... ,"3","1"
y0A45,Klaricid XL ...  ... ,"3","1"
YaTUB,Accidental azithromycin OD ... Accidental azithromycin overdose ... ,"3","1"
YaTUD,Azithromycin OD undeterm int ... Azithromycin overdose of undetermined intent ... ,"3","1"
YaTUH,Clarithromycin OD undete int ... Clarithromycin overdose of undetermined intent ... ,"3","1"
y01Si,Hydrocortisone 10% rectal foam ... Hydrocortisone acetate 10% rectal foam ... ,"3","0"
y01Sq,Prednisolone 20mg foam 20g ... Prednisolone 20mg rectal foam 20g ... ,"3","0"
y02Z2,Dexameth sod phos 10mg/2mL inj ... Dexamethasone sodium phosphate 10mg/2mL injection ... ,"3","0"
y02Z5,Dexamethasone phos 8mg/2mL inj ... Dexamethasone phosphate 8mg/2mL injection ... ,"3","0"
y02Z8,Hydrocortisone ...  ... ,"3","0"
y02ZA,Hydrocortisone 20mg tablet ...  ... ,"3","0"
yz6WQ,HYDROCORTISONE 5mg m/r tablets ...  ... ,"3","0"
y00lj,Prednisolone acet 1% e/d 5mL ... Prednisolone acet 1% eye drops 5mL ... ,"3","0"
y00lk,Prednisolone acet 1% e/d 10mL ... Prednisolone acet 1% eye drops 10mL ... ,"3","0"
y0C5p,Levofloxacin 500mg/100mL inf ... Levofloxacin 500mg/100mL intravenous infusion ... ,"3","1"
m412.,HYDROCORTISONE 1% cream 30g ...  ... ,"2","0"
m416.,*HYDROCORTISONE 0.125% cream ...  ... ,"2","0"
m419.,*HYDROCORTISONE 0.5% cream 50g ...  ... ,"2","0"
m4lx.,HYDROCORT BUT 0.1% lipocream ... HYDROCORTISONE BUTYRATE 0.1% lipocream ... ,"2","0"
m4m..,METHYLPREDNISOLONE ACETATE ...  ... ,"2","0"
m4p..,HYDROCORTISONE ACETATE [TOPIC] ... HYDROCORTISONE ACETATE [TOPICAL] ... ,"2","0"
m666.,*QUINODERM+HYDROCORT cream 30g ... QUINODERM+HYDROCORTISONE cream 30g ... ,"2","0"
m671.,*ERYTHROMYCIN 2% lotion 25mLx2 ...  ... ,"2","1"
m675.,ERYTHROMYCIN 2% lotion ...  ... ,"2","1"
m676.,ERYTHROMYCIN+ZINC topical soln ... ERYTHROMYCIN+ZINC ACETATE 40mg/12mg/mL topical solution ... ,"2","1"
e931.,AZITHROMYCIN 250mg capsules ...  ... ,"2","1"
e932.,AZITHROMYCIN 40mg/mL susp ... AZITHROMYCIN 40mg/mL suspension ... ,"2","1"
e935.,ZITHROMAX 40mg/mL susp 22.5mL ... ZITHROMAX 40mg/mL suspension 22.5mL ... ,"2","1"
j41y.,DEXAMETH SOD PHOS 8mg/2mL inj ... DEXAMETHASONE SOD PHOS 8mg/2mL injection ... ,"2","0"
y02PT,Erythromycin 250mg/sach grans ... Erythromycin 250mg/sachet granules ... ,"3","1"
y02PY,Erythromycin 1g/sach granules ... Erythromycin 1g/sachet granules ... ,"3","1"
y02Pi,Clarithromycin 250mg tablet ...  ... ,"3","1"
y02Pm,Azithromycin 250mg capsule ...  ... ,"3","1"
y02Pn,Azithromycin 200mg/5mL susp ... Azithromycin 200mg/5mL oral suspension ... ,"3","1"
y01GR,Klaricid IV 500mg inj pdr ... Klaricid IV 500mg injection (pdr for recon) ... ,"3","1"
y07mm,Ciprofloxacin 400mg/200mL inf ... Ciprofloxacin 400mg/200mL intravenous infusion ... ,"3","1"
y07mn,Ciproxin 400mg/200mL i-v inf ... Ciproxin 400mg/200mL intravenous infusion ... ,"3","1"
Yalo6,Amoxicillin overdose ...  ... ,"3","1"
y033a,Chloromycet Hydrocort eye oint ... Chloromycetin Hydrocortisone eye ointment ... ,"3","0"
y033d,Hydrocortis ac 2.5% eye oint ... Hydrocortisone acetate 2.5% eye ointment ... ,"3","0"
y033e,Hydrocort+chloramphen eye oint ... Hydrocortisone acetate+chloramphenicol 0.5%/1% eye ointment ... ,"3","0"
y033k,Prednisolone 0.5% eye/ear drps ... Prednisolone sodium phosphate 0.5% eye/ear drops ... ,"3","0"
y0Aob,Amoxil SF ...  ... ,"3","1"
k647.,DEXAMETH+HYPROMEL 0.1/0.5% e/d ... DEXAMETHASONE+HYPROMELLOSE 0.1%/0.5% eye drops ... ,"2","0"
k667.,HYDROCORTISONE 0.5% eye oint ... HYDROCORTISONE ACETATE 0.5% eye ointment ... ,"2","0"
k66z.,HYDROCORTISONE ACETATE 1% e/d ... HYDROCORTISONE ACETATE 1% eye drops ... ,"2","0"
k68z.,PREDNISOLONE 0.5% eye drops ...  ... ,"2","0"
k6a1.,PREDNISOLONE ACET 1% e/d 5mL ... PREDNISOLONE ACET 1% eye drops 5mL ... ,"2","0"
e75..,DOXYCYCLINE ...  ... ,"2","1"
e758.,DOXYCYCLINE 100mg capsules ...  ... ,"2","1"
e75v.,*DOXYCYCLINE 100mg tablets ...  ... ,"2","1"
e75w.,*DOXYCYCLINE 100mg capsules ...  ... ,"2","1"
e75y.,*DOXYCYCLINE 50mg/5mL syrup ...  ... ,"2","1"
eg6u.,CIPROFLOXACIN 2mg/mL inf 200mL ... CIPROFLOXACIN 2mg/mL intravenous infusion 200mL ... ,"2","1"
eg6z.,CIPROFLOXACIN 2mg/mL inf 100mL ... CIPROFLOXACIN 2mg/mL intravenous infusion 100mL ... ,"2","1"
egC3.,LEVOFLOXACIN 500mg/100mL inf ... LEVOFLOXACIN 500mg/100mL intravenous infusion ... ,"2","1"
egD..,MOXIFLOXACIN ...  ... ,"2","1"
egD3.,AVELOX 400mg/250mL soln inf ... AVELOX 400mg/250mL solution for infusion ... ,"2","1"
egD4.,MOXIFLOXACIN 400mg/250mL inf ... MOXIFLOXACIN 400mg/250mL solution for infusion ... ,"2","1"
fe6p.,PEVANTI 5mg tablets ...  ... ,"2","0"
fe6s.,PREDNISOLONE 20mg tablets ...  ... ,"2","0"
l22y.,PREDNISOLONE 0.5% ear drops ...  ... ,"2","0"
l22z.,*PREDNISOLONE 0.5% ear drops ...  ... ,"2","0"
"44Wz.",Serum prednisolone level ...  ... ,"2","0"
m421.,HYDROCORTISONE 0.5% oint 15g ... HYDROCORTISONE 0.5% ointment 15g ... ,"2","0"
m42b.,HYDROCORTISONE 2.5% ointment ...  ... ,"2","0"
m45..,HYDROCORTISONE+ANTIMICROBIALS ...  ... ,"2","0"
m451.,*HYDROCORTISONE/NEOMYCIN cream ...  ... ,"2","0"
m45w.,CANESTEN HYDROCORTISON crm 15g ... CANESTEN HYDROCORTISONE cream 15g ... ,"2","0"
m45X.,HYDROCORT+MICONAZO 1%/2% oint ... HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% ointment ... ,"2","0"
j43y.,METHYLPREDNIS 120mg/3mL inj ... METHYLPREDNISOLONE ACET 120mg/3mL injection ... ,"2","0"
j44..,PREDNISOLONE ACETATE [MUSKEL] ... PREDNISOLONE ACETATE [MUSCULOSKELETAL USE] ... ,"2","0"
j45z.,*PREDNISOLONE 32mg/2mL inj ... PREDNISOLONE 32mg/2mL injection ... ,"2","0"
e3A..,AMOXICILLIN [2] ...  ... ,"2","1"
e3zk.,AMOXICILLIN 125mg/5mL s/f susp ... AMOXICILLIN 125mg/5mL sugar free suspension ... ,"2","1"
e3zn.,AMOXICILLIN 250mg/5mL syrup ...  ... ,"2","1"
e3zq.,AMOXICILLIN powder 3g/sachet ...  ... ,"2","1"
e612.,DISTACLOR 125mg/5mL suspension ...  ... ,"2","1"
e613.,DISTACLOR 250mg/5mL suspension ...  ... ,"2","1"
e689.,ZINNAT 125mg/5mL suspension ...  ... ,"2","1"
e68x.,CEFUROXIME 250mg injection ...  ... ,"2","1"
e696.,CEFALEXIN 250mg/5mL mixture ...  ... ,"2","1"
e697.,CEFALEXIN 500mg/5mL syrup ...  ... ,"2","1"
e91I.,KERYMAX 250mg e/c grans in cap ... KERYMAX 250mg e/c granules in capsules ... ,"2","1"
e91j.,*ERYTHROPED P.I 125mg/5mL susp ... ERYTHROPED P.I. 125mg/5mL suspension ... ,"2","1"
e91R.,ERYTHROMYCIN 500mg/5mL sf susp ... ERYTHROMYCIN 500mg/5mL sugar free suspension ... ,"2","1"
e91x.,*ERYTHROPED A 1g/sachet grans ... ERYTHROPED A 1g/sachet granules ... ,"2","1"
e91z.,*ERYTHROPED 250mg/sachet grans ... ERYTHROPED 250mg/sachet granules ... ,"2","1"
e921.,CLARITHROMYCIN 250mg tablets ...  ... ,"2","1"
e922.,KLARICID 250mg tablets 14CP ...  ... ,"2","1"
e31a.,*AMOXIL SF 250mg/5mL syrup ...  ... ,"2","1"
e31d.,*AMOXIL SF 3g sachets ...  ... ,"2","1"
e31f.,AMOXIL 500mg injection ...  ... ,"2","1"
e31T.,AUGMENTIN 625mg tablets ...  ... ,"2","1"
e31X.,CO-AMOXICLAV 400/57mg susp ... CO-AMOXICLAV 400/57mg in 5mL sugar free suspension ... ,"2","1"
