"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
y02M6,Cefuroxime 1.5g i-v inf ... Cefuroxime 1.5g infusion (pdr for recon) ... ,"3","1"
y08he,Erymax ...  ... ,"3","1"
y0C5o,Levofloxacin 500mg tablet ...  ... ,"3","1"
y00tR,Hydrocortisone 1% ointment 30g ...  ... ,"3","0"
y0CNW,Zithromax 500mg tablet ...  ... ,"3","1"
y03Tg,Cefuroxime+metronidazole ...  ... ,"3","1"
y03Tq,Erythroped 250mg/5mL susp ... Erythroped 250mg/5mL suspension ... ,"3","1"
y0A1l,Erythrom 250mg e/c gran in cap ... Erythromycin 250mg e/c granules in capsule ... ,"3","1"
YMI20,[X] Adv react to doxycycline ... [X] Adverse reaction to doxycycline ... ,"3","1"
y01D4,Methylprednis/neomy crm 15g ... Methylprednisolone/neomycin 0.25/0.5% cream 15g ... ,"3","0"
yz6WS,HYDROCORTISONE 20mg m/r tabs ... HYDROCORTISONE 20mg m/r tablets ... ,"3","0"
yz4Ui,DEXAMETHASONE 700mcg implant ... DEXAMETHASONE 700micrograms intravitreal implant+applicator ... ,"3","0"
y00o6,Prednisolone 0.5% ear drops ...  ... ,"3","0"
y00oQ,Neo-Cortef ear ointment 3.9g ...  ... ,"3","0"
y044m,Parenteral erythromycin ...  ... ,"3","1"
y044o,Topical erythromycin ...  ... ,"3","1"
Ya066,H/O: erythromycin allergy ...  ... ,"3","1"
y02Ku,Cefaclor ...  ... ,"3","1"
y02Ky,Cefaclor 250mg capsule ...  ... ,"3","1"
y02L1,Distaclor 500mg capsule ...  ... ,"3","1"
y086y,Erythromycin 500mg/5mL sf susp ... Erythromycin 500mg/5mL s/f suspension ... ,"3","1"
y02MW,Keflex 125mg/5mL suspension ...  ... ,"3","1"
y02MX,Keflex 250mg/5mL suspension ...  ... ,"3","1"
y0EfR,Cefalexin 250mg capsule ...  ... ,"3","1"
y0EfY,Cefalexin 500mg/5mL syrup ...  ... ,"3","1"
y044x,Parenteral cefuroxime ...  ... ,"3","1"
y00t9,Hydrocortisone 0.5% cream 100g ...  ... ,"3","0"
"448s.",Dexamethasone suppression test ...  ... ,"2","0"
k3k3.,CIPROFLOXACIN 3mg/g eye oint ... CIPROFLOXACIN 3mg/g eye ointment ... ,"2","1"
e69l.,KEFLEX 500mg tablets ...  ... ,"2","1"
e69p.,*KEFLEX-C 250mg chew tablets ... KEFLEX-C 250mg chewable tablets ... ,"2","1"
e69v.,CEFALEXIN 125mg/5mL syrup ...  ... ,"2","1"
e75D.,*VIBRAMYCIN ACNE PACK 50mg cap ... VIBRAMYCIN ACNE PACK 50mg capsules ... ,"2","1"
e75z.,DOXYCYCLINE 100mg disp tabs ... DOXYCYCLINE 100mg dispersible tablets ... ,"2","1"
eg68.,*CIPROXIN 100mg tablets ...  ... ,"2","1"
eg6w.,CIPROFLOXACIN 500mg tablets ...  ... ,"2","1"
egC1.,LEVOFLOXACIN 250mg tablets ...  ... ,"2","1"
egD1.,MOXIFLOXACIN 400mg tablets ...  ... ,"2","1"
aa4..,PREDNISOLONE [see rectal pred] ... PREDNISOLONE [for preparations see rectal prednisolone] ... ,"2","0"
ai27.,*PREDNISOLONE 5mg suppository ...  ... ,"2","0"
ai28.,*PREDNISOLONE 20mg/dose aerosl ... PREDNISOLONE 20mg/dose foam aerosol 20g ... ,"2","0"
ai2a.,PREDNISOLONE 20mg stand enema ... PREDNISOLONE 20mg/100mL standard tube retention enema ... ,"2","0"
m411.,HYDROCORTISONE 1% cream 15g ...  ... ,"2","0"
m41b.,HYDROCORTISONE 2.5% cream ...  ... ,"2","0"
j42..,HYDROCORTISONE ACET [MUSC-SKEL ... HYDROCORTISONE ACETATE [MUSCULOSKELETAL USE] ... ,"2","0"
j441.,DELTASTAB 25mg/1mL injection ...  ... ,"2","0"
e3zE.,AMOXICILLIN 125mg/sach s/f pdr ... AMOXICILLIN 125mg/sachet sugar free powder ... ,"2","1"
e3zu.,AMOXICILLIN 250mg/5mL s/f susp ... AMOXICILLIN 250mg/5mL sugar free suspension ... ,"2","1"
e615.,CEFACLOR 125mg/5mL suspension ...  ... ,"2","1"
e617.,DISTACLOR 500mg capsules ...  ... ,"2","1"
e61b.,*DISTACLOR MR 500mg m/r tabs ... DISTACLOR MR 500mg m/r tablets ... ,"2","1"
e61C.,CEFACLOR 125mg/5mL s/f susp ... CEFACLOR 125mg/5mL sugar free suspension ... ,"2","1"
e685.,*ZINNAT 250mg tablets ...  ... ,"2","1"
e685.,ZINNAT 250mg tablets ...  ... ,"2","1"
e693.,CEFALEXIN 250mg tablets ...  ... ,"2","1"
e695.,CEFALEXIN 125mg/5mL mixture ...  ... ,"2","1"
e914.,ERYTHROMYCIN STEAR 500mg tabs ... ERYTHROMYCIN STEARATE 500mg tablets ... ,"2","1"
e91C.,ERYTHROPED 125mg/5mL s/f susp ... ERYTHROPED P.I. 125mg/5mL sugar free suspension 140mL ... ,"2","1"
e91D.,ERYTHROPED 250mg/5ml s/f susp ... ERYTHROPED 250mg/5mL sugar free suspension 140mL ... ,"2","1"
e91F.,ERYTHROMYCIN 250mg/5mL s/f sus ... ERYTHROMYCIN 250mg/5mL sugar free suspension ... ,"2","1"
e91m.,*ERYTHROPED 500mg/5mL susp ... ERYTHROPED FORTE 500mg/5mL suspension ... ,"2","1"
e91v.,ERYTHROMYCIN 250mg/5mL susp ... ERYTHROMYCIN 250mg/5mL suspension ... ,"2","1"
"14LA.",H/O: erythromycin allergy ...  ... ,"2","1"
k648.,DEXAMET+TOBRAMYC 0.1%/0.3% e/d ... DEXAMETHASONE+TOBRAMYCIN 0.1%/0.3% eye drops ... ,"2","0"
k64A.,DEXAMETHASONE 700mcg implant ... DEXAMETHASONE 700micrograms intravitreal implant+applicator ... ,"2","0"
k64y.,*DEXAMETHASONE eye drops ...  ... ,"2","0"
k666.,*NEO-CORTEF eye drops ...  ... ,"2","0"
k66B.,*HYDRCOR+NEO 1.5/0.5% e/d 10mL ... HYDROCORTISONE ACET+NEOMYCIN SULPH 1.5%/0.5% eye drops 10mL ... HYDROCORTISONE ACETATE+NEOMYCIN SULPHATE 1.5%/1% eye drops 10mL,"2","0"
k66B.,HYDROCOR+NEO 1.5/0.5% e/d 10mL ... HYDROCORTISONE ACET+NEOMYCIN SULPH 1.5%/0.5% eye drops 10mL ... HYDROCORTISONE ACETATE+NEOMYCIN SULPHATE 1.5%/1% eye drops 10mL,"2","0"
"43td.",Erythromycin RAST test ...  ... ,"2","1"
fe3D.,DEXAMETHASONE 3.8mg/1mL inj ... DEXAMETHASONE 3.8mg/1mL solution for injection ... ,"2","0"
fe3z.,*DEXAMETHASONE 4mg/1mL inj ... DEXAMETHASONE 4mg/1mL injection ... ,"2","0"
fe3z.,DEXAMETHASONE 4mg/1mL inj ... DEXAMETHASONE 4mg/1mL injection ... ,"2","0"
fe4b.,SOLU-CORTEF+WATER 100mg inj ... SOLU-CORTEF+WATER 100mg injection ... ,"2","0"
fe4h.,HYDROCORTISONE 20mg m/r tabs ... HYDROCORTISONE 20mg m/r tablets ... ,"2","0"
fe5o.,METHYLPREDNISOLONE 4mg tablets ...  ... ,"2","0"
fe5p.,METHYLPREDNISOLONE 16mg tabs ... METHYLPREDNISOLONE 16mg tablets ... ,"2","0"
fe5u.,METHYLPREDN 500mg inj pdr+dil ... METHYLPREDNISOLONE 500mg injection powder+diluent ... ,"2","0"
fe5z.,*METHYLPREDNISOL 200mg/5mL inj ... METHYLPREDNISOLONE 200mg/5mL injection ... ,"2","0"
fe62.,PREDNISOLONE 5mg tablets ...  ... ,"2","0"
fe65.,DELTACORTRIL ENTERIC 2.5mg tab ... DELTACORTRIL ENTERIC 2.5mg tablets ... ,"2","0"
fe6h.,PREDNISOLONE 2.5mg e/c tablets ...  ... ,"2","0"
fe6j.,PREDNISOLONE 5mg sol tablets ... PREDNISOLONE 5mg soluble tablets ... ,"2","0"
e91y.,*ERYMAX SPRINKLE 125mg caps ... ERYMAX SPRINKLE 125mg capsules ... ,"2","1"
e92..,CLARITHROMYCIN ...  ... ,"2","1"
e926.,KLARICID IV 500mg inj powder ... KLARICID IV 500mg injection (pdr for recon) ... ,"2","1"
e927.,CLARITHROMYCIN 500mg tablets ...  ... ,"2","1"
e92J.,*CLARITHROMY 250mg grans straw ... CLARITHROMYCIN 250mg granules straw ... ,"2","1"
e939.,CLAMELLE AZTHRMYCIN 500mg tabs ... CLAMELLE AZITHROMYCIN 500mg tablets ... ,"2","1"
"7K6ZA",Inj hydrocort acet ankle jt ... Injection of hydrocortisone acetate into ankle joint ... ,"2","0"
"7K6ZB",Inj hydrocort acetat knee jt ... Injection of hydrocortisone acetate into knee joint ... ,"2","0"
TJ03.,AR - erythromycin/other macrol ... Adverse reaction to erythromycin and other macrolides ... ,"2","1"
"44lzQ",Tetrahydrocortisone/creat rtio ... Tetrahydrocortisone/creatinine ratio ... ,"2","0"
SL03.,Erythromycin/macrolide poison. ... Erythromycin and macrolide poisoning ... ,"2","1"
k681.,MINIMS PREDNISOLONE 0.5% ... MINIMS PREDNISOLONE 0.5% single-use eye drops 0.5mL ... ,"2","0"
k6a..,PREDNISOLONE ACETATE [EYE] ...  ... ,"2","0"
k6a2.,PREDNISOLONE ACET 1% e/d 10mL ... PREDNISOLONE ACET 1% eye drops 10mL ... ,"2","0"
"7L103",Methylprednisolone pulse thera ... Methylprednisolone pulse therapy ... ,"2","0"
e311.,AMOXICILLIN 250mg capsules ...  ... ,"2","1"
e312.,AMOXICILLIN 500mg capsules ...  ... ,"2","1"
e318.,*AMOXIL 125mg/5mL syrup ...  ... ,"2","1"
e319.,*AMOXIL SF 125mg/5mL syrup ...  ... ,"2","1"
e31i.,*AUGMENTIN 375mg disp tablets ... AUGMENTIN 375mg dispersible tablets ... ,"2","1"
e31N.,*AMOXIL FIZTAB 250mg chew tabs ... AMOXIL FIZTAB 250mg chewable tablets ... ,"2","1"
e31O.,*AMOXIL FIZTAB 500mg chew tabs ... AMOXIL FIZTAB 500mg chewable tablets ... ,"2","1"
e31u.,*CO-AMOXICLAV 375mg disp tabs ... CO-AMOXICLAV 375mg dispersible tablets ... ,"2","1"
e31U.,CO-AMOXICLAV 625mg tablets ...  ... ,"2","1"
e31v.,*CO-AMOXICLAV 125mg/5mL susp ... CO-AMOXICLAV 125mg/5mL suspension ... ,"2","1"
m44..,HYDROCORTISONE COMPOUND PREPS. ... HYDROCORTISONE COMPOUND PREPARATIONS ... ,"2","0"
m45W.,*HYDROCORT+ECONAZOLE 1%/1% crm ... HYDROCORTISONE+ECONAZOLE NITRATE 1%/1% cream ... ,"2","0"
m45y.,*HYDROCORT+NEOMYCI 1%/0.5% crm ... HYDROCORTISONE+NEOMYCIN 1%/0.5% cream ... ,"2","0"
TJ205,AR - methylprednisolone ... Adverse reaction to methylprednisolone ... ,"2","0"
m4lt.,HYDROCORTISONE BUTYR 0.1% emul ... HYDROCORTISONE BUTYRATE 0.1% emulsion ... ,"2","0"
m4my.,*METHYLPREDNIS/NEOMY crm 15g ... METHYLPREDNISOLONE/NEOMYCIN 0.25/0.5% cream 15g ... ,"2","0"
y03Tu,Zithromax 200mg/5mL suspension ... Zithromax 200mg/5mL oral suspension ... ,"3","1"
y02M7,Cefuroxime 250mg inj pdr ... Cefuroxime 250mg injection (pdr for recon) ... ,"3","1"
y08hh,Erythroped Forte ...  ... ,"3","1"
y0C5n,Levofloxacin 250mg tablet ...  ... ,"3","1"
y0C5q,Tavanic 250mg tablet ...  ... ,"3","1"
y0C5r,Tavanic 500mg tablet ...  ... ,"3","1"
y03tM,Hydrocortisone acetate powder ...  ... ,"3","0"
y02M1,Cefuroxime 125mg/sach granules ... Cefuroxime 125mg/sachet granules ... ,"3","1"
y039l,Hydrocortisone 0.5% ointment ...  ... ,"3","0"
y039t,Hydrocort+clioquinol 1%/3% crm ... Hydrocortisone+clioquinol 1%/3% cream ... ,"3","0"
y039u,Hydrocort+oxytet 50/150mg spry ... Hydrocortisone+oxytetracycline 50/150mg spray ... ,"3","0"
y049c,Topical cpd dexamethasone prep ... Topical compound dexamethasone preparation ... ,"3","0"
y04AI,Oral hydrocortisone ...  ... ,"3","0"
y04Ai,Topical prednisolone ...  ... ,"3","0"
y04At,Rectal hydrocortisone preps ... Rectal hydrocortisone preparations ... ,"3","0"
y04Az,Eczederm+hydrocortisone cream ...  ... ,"3","0"
y04B5,Parenteral hydrocortisone ...  ... ,"3","0"
y0AbJ,Klaricid IV ...  ... ,"3","1"
y03AV,Hydrocortisone but 0.1% lotion ... Hydrocortisone butyrate 0.1% scalp lotion ... ,"3","0"
y03Av,Coal tar extract+HC cream ... Coal tar extract+hydrocortisone 3%/0.25% cream ... ,"3","0"
y0FMy,Hydrocortisone 1% aq cream ... Hydrocortisone 1% aqueous cream ... ,"3","0"
y0BrO,Cefaclor product ...  ... ,"3","1"
y0BrS,Erythromycin product ...  ... ,"3","1"
y0EJn,Clarith+lansoprz+metronidz pck ... Clarithrom tab+lansopraz cap+metronidaz tab 500/30/400mg pck ... Clarithromycin tablet+lansoprazole capsule+metronidazole tablet 500mg/30mg/400mg pack,"3","1"
yz4j0,PREDNISONE 2mg m/r tablets ...  ... ,"3","0"
yz4j1,PREDNISONE 1mg m/r tablets ...  ... ,"3","0"
y00O0,Zithromax 40mg/mL susp 30mL ... Zithromax 40mg/mL suspension 30mL ... ,"3","1"
y02Tg,Ciproxin 200mg/100mL i-v inf ... Ciproxin 200mg/100mL intravenous infusion ... ,"3","1"
y02Th,Ciproxin 500mg tablet ...  ... ,"3","1"
y02Tk,Ciprofloxacin 500mg tablet ...  ... ,"3","1"
y02Tl,Ciprofloxacin 250mg tablet ...  ... ,"3","1"
y02Tn,Ciprofloxacin 200mg/100mL inf ... Ciprofloxacin 200mg/100mL intravenous infusion ... ,"3","1"
y08EH,Methylprednisolone [endoc] ... Methylprednisolone [endocrine use] ... ,"3","0"
y0Epl,Hydrocortisone+pramocaine ...  ... ,"3","0"
y033b,Hydrocortis ac 0.5% eye oint ... Hydrocortisone acetate 0.5% eye ointment ... ,"3","0"
y033j,Prednisolone 0.5% s-d e/d ... Prednisolone sodium phosphate 0.5% single-use eye drops ... ,"3","0"
Yalpw,Accidental cefalexin poisoning ...  ... ,"3","1"
y00zv,Erythromycin 2% lotion 25mLx2 ...  ... ,"3","1"
y04FT,Methylprednis. acetate [mskel] ... Methylprednisolone acetate [musculoskeletal use] ... ,"3","0"
y0H8c,Levofloxacin 5mg/mL eye drops ...  ... ,"3","1"
y08g7,Distaclor ...  ... ,"3","1"
y0AjP,Erythroped SF ...  ... ,"3","1"
y0Dya,Dexamethasone+tobramycin ...  ... ,"3","0"
y0Dyb,Dexamet+tobramyc 0.1%/0.3% e/d ... Dexamethasone+tobramycin 0.1%/0.3% eye drops ... ,"3","0"
y0047,Prednisolone 20mg/100mL enema ...  ... ,"3","0"
y0365,Prednisol+neomyc eye/ear drops ... Prednisolone Na phos+neomycin sulph 0.5%/0.5% eye/ear drops ... Prednisolone sodium phosphate+neomycin sulphate 0.5%/0.5% eye/ear drops,"3","0"
y0367,Neomycin+hydroc 0.5/1.5% drops ... Neomycin+hydrocortisone 0.5%/1.5% eye/ear drops ... ,"3","0"
y037H,Hydrocortisone 2.5mg lozenge ...  ... ,"3","0"
y00LR,Augmentin Junior 187mg/5mL ... Augmentin Junior 125/62 in 5mL suspension ... ,"3","1"
y00LU,Co-amoxiclav 125mg/5mL susp ... Co-amoxiclav 125mg/5mL suspension ... ,"3","1"
y03X3,Hydrocortisone+urea ...  ... ,"3","0"
y03X7,Hydrocortisone+crotamiton ...  ... ,"3","0"
y03XK,Hydrocortisone+miconazole ...  ... ,"3","0"
y03XP,Hydrocortisone+fusidic acid ...  ... ,"3","0"
y03Xd,Hydrocortisone+gentamicin ...  ... ,"3","0"
y03Xh,Hydrocortisone+clioquinol ...  ... ,"3","0"
y03Xr,Prednisolone 0.003% eye drops ...  ... ,"3","0"
y03Xt,Prednisolone 0.01% eye drops ...  ... ,"3","0"
y00ND,Vibramycin 50mg/5mL syrup ...  ... ,"3","1"
y00NE,Doxycycline 100mg tablet ...  ... ,"3","1"
y00Nw,Erymax Sprinkle 125mg capsule ...  ... ,"3","1"
y00Nx,Klaricid 250mg tablets 14CP ...  ... ,"3","1"
y08DT,Dexamethasone [endocrine use] ...  ... ,"3","0"
y0AVz,Vibramycin Acne Pack 50mg cap ... Vibramycin Acne Pack 50mg capsule ... ,"3","1"
YaSzJ,Top comp dexameth prep allergy ... Topical compound dexamethasone preparation allergy ... ,"3","0"
y02ID,Amoxil 3g/sachet s/f powder ...  ... ,"3","1"
y02IJ,Amoxil 1g inj pdr ... Amoxil 1g injection (pdr for recon) ... ,"3","1"
y02IN,Augmentin 375mg disp tab ... Augmentin 375mg s/f dispersible tablet ... ,"3","1"
y02IU,Augmentin 1.2g inj pdr ... Augmentin 1.2g injection (pdr for recon) ... ,"3","1"
y02Ig,Co-amoxiclav 250mg/125mg tab ... Co-amoxiclav 250mg/125mg tablet ... ,"3","1"
y0FGR,Kerymax 250mg e/c grans in cap ... Kerymax 250mg e/c granules in capsule ... ,"3","1"
YMI1d,[X] Adv reaction to cefaclor ... [X] Adverse reaction to cefaclor ... ,"3","1"
y01Fr,Cefaclor 500mg m/r tablet ...  ... ,"3","1"
YaSar,Methylprednisolone adverse rea ... Methylprednisolone adverse reaction ... ,"3","0"
YaSas,Prednisolone adverse reaction ...  ... ,"3","0"
YaSat,Topical prednisolone advers re ... Topical prednisolone adverse reaction ... ,"3","0"
YaSau,Prednisolone drops adverse rea ... Prednisolone drops adverse reaction ... ,"3","0"
YaTXm,Intention prednisone overdose ... Intentional prednisone overdose ... ,"3","0"
YaTXp,Acc dexamethasone overdose ... Accidental dexamethasone overdose ... ,"3","0"
YaTXq,Intent dexamethasone overdose ... Intentional dexamethasone overdose ... ,"3","0"
YaTXr,Undet dexamethasone overdose ... Dexamethasone overdose of undetermined intent ... ,"3","0"
y01Cl,Hydrocortisone 2.5% cream 50g ...  ... ,"3","0"
y01Cm,Hydrocortisone 2.5% oint 15g ... Hydrocortisone 2.5% ointment 15g ... ,"3","0"
Y73FI,AR - doxycycline ... Adverse reaction to doxycycline ... ,"3","1"
Y73Gy,Adverse reaction to prednisone ...  ... ,"3","0"
Yapsb,Ur tetrahydr excr per meas vol ... Urine tetrahydrocortisone excretion per measured volume ... ,"3","0"
YaTVa,Cefuroxime OD undetermin int ... Cefuroxime overdose of undetermined intent ... ,"3","1"
y03C8,Erythromycin 2% top soln ... Erythromycin 2% topical solution ... ,"3","1"
y044v,Oral cefuroxime ...  ... ,"3","1"
y0IN6,HYDROCORTISONE 1% ointment 50g ...  ... ,"3","0"
y00ip,Methylprednis 80mg/2mL syringe ... Methylprednisolone acetate 80mg/2mL syringe ... ,"3","0"
y0CEz,Tramazoline+dexamethasone ... Tramazoline hydrochloride+dexamethasone isonicotinate ... ,"3","0"
YMI3N,[X] Adv react hydrocortisone ... [X] Adverse reaction to hydrocortisone ... ,"3","0"
y0Cdx,Erythromycin [2] ...  ... ,"3","1"
Y7GQ1,Low dose dexameth supp test ... Low dose dexamethasone suppression test ... ,"3","0"
YM4GV,Dihydrocortisone ...  ... ,"3","0"
Y7GQ2,High dose dexameth supp test ... High dose dexamethasone suppression test ... ,"3","0"
Y7GQP,Hydrocortisone supp test ... Hydrocortisone suppression test ... ,"3","0"
y0CCR,Erythromycin 4% topical gel ...  ... ,"3","1"
y0F4e,Moxifloxacin ...  ... ,"3","1"
y03Wc,Dexamethasone 0.1% eye drops ...  ... ,"3","0"
y03Wn,Hydrocortisone 0.1% cream ...  ... ,"3","0"
y03Wo,Hydrocortisone 0.5% cream ...  ... ,"3","0"
y03Wp,Hydrocortisone 1% cream ...  ... ,"3","0"
y0Bsu,Ciprofloxacin 5g/100mL susp ... Ciprofloxacin 5g/100mL oral suspension ... ,"3","1"
y0EL1,Doxycycline 20mg tablet ...  ... ,"3","1"
y0GqQ,Clarithromy 250mg grans straw ... Clarithromycin 250mg granules straw ... ,"3","1"
y02PH,Erythromy 125mg/5mL s/f susp ... Erythromycin 125mg/5mL s/f suspension ... ,"3","1"
y02Pg,Erythroped 250mg/sach grans ... Erythroped 250mg/sachet granules ... ,"3","1"
y02Po,Zithromax 250mg capsule ...  ... ,"3","1"
y0Ego,Amoxicillin 250mg capsule ...  ... ,"3","1"
y0Egz,Amoxicillin 500mg inj pdr ... Amoxicillin 500mg injection (pdr for recon) ... ,"3","1"
y01JB,Ciprofloxacin 0.3% eye drops ...  ... ,"3","1"
YaS9v,Azithromycin pois undeterm int ... Azithromycin poisoning of undetermined intent ... ,"3","1"
y00lZ,Prednisolone sod phos [eye] ...  ... ,"3","0"
Y72qZ,Erythromycin/macrolide poison. ... Erythromycin and macrolide poisoning ... ,"3","1"
Y72qh,Doxycycline poisoning ...  ... ,"3","1"
Yatx8,Post ovnght dexamet cortisl lv ... Post overnight dexamethasone cortisol level ... ,"3","0"
y08VK,Co-amoxiclav 400mg/57mg susp ... Co-amoxiclav 400mg/57mg/5mL s/f suspension ... ,"3","1"
y0FzD,Hydrocort+lidoc 0.2%/1% spray ... Hydrocortisone+lidocaine 0.2%/1% spray ... ,"3","0"
yz8dz,PEVANTI 2.5mg tablets ...  ... ,"3","0"
y02Ih,Co-amoxiclav 500mg/125mg tab ... Co-amoxiclav 500mg/125mg tablet ... ,"3","1"
y02Ik,Co-amoxiclav 1g/200mg inj ... Co-amoxiclav 1g/200mg injection (pdr for recon) ... ,"3","1"
y07d0,Clarithromycin 500mg tablet ...  ... ,"3","1"
y0AJw,Hydrocort+neomy 1.5%/0.5% e/d ... Hydrocortisone acetate+neomycin sulphate 1.5%/0.5% eye drops ... ,"3","0"
y0AJx,Hydrocor+neo 1.5/0.5% e/d 10mL ... Hydrocortisone acet+neomycin sulph 1.5%/0.5% eye drops 10mL ... Hydrocortisone acetate+neomycin sulphate 1.5%/0.5% eye drops 10mL,"3","0"
YaTU8,Intentional erythromycin OD ... Intentional erythromycin overdose ... ,"3","1"
YaTU9,Erythromycin OD undeterm int ... Erythromycin overdose of undetermined intent ... ,"3","1"
YaTUG,Intention clarithromycin OD ... Intentional clarithromycin overdose ... ,"3","1"
YanPY,Ciproflxcin resistnt tubrclsis ... Ciprofloxacin resistant tuberculosis ... ,"3","1"
Yalqa,Intentional cefalexin overdose ...  ... ,"3","1"
YalrE,Adverse reaction to cefalexin ...  ... ,"3","1"
y08Xb,Hydrocortisone butyr 0.1% emul ... Hydrocortisone butyrate 0.1% emulsion ... ,"3","0"
Yapp1,"24h ur tetrahydrocortison meas ... 24 hour urine tetrahydrocortisone measurement ... ","3","0"
y02Z0,Decadron 8mg/2mL injection ...  ... ,"3","0"
y02Z1,Decadron Shock-Pak 100mg/5mL ... Decadron Shock-Pak 100mg/5mL injection ... ,"3","0"
y02Z4,Dexamethas phos 120mg/5mL inj ... Dexamethasone phosphate 120mg/5mL injection ... ,"3","0"
y02Z9,Hydrocortisone 10mg tablet ...  ... ,"3","0"
y0A44,Klaricid XL 500mg m/r tablet ...  ... ,"3","1"
y07b6,Erythromycin 3% topical gel ... Erythromycin 3% in benzoyl peroxide topical gel ... ,"3","1"
yz7fL,DEXAMETHASONE 10mg/5mL soln ... DEXAMETHASONE 10mg/5mL oral solution ... ,"3","0"
y00Rz,Min-I-Mix Methylpred 0.5g inj ... Min-I-Mix Methylprednisolone 500mg injection ... ,"3","0"
y00S2,Methylprednisolone 500mg inj ... Methylprednisolone 500mg injection ... ,"3","0"
y02ZF,Hydrocortisone 500mg/5mL inj ... Hydrocortisone 500mg/5mL injection ... ,"3","0"
y02ZZ,Methylprednisolone 100mg tab ... Methylprednisolone 100mg tablet ... ,"3","0"
y02Zd,Methylprednis 40mg inj pdr+dil ... Methylprednisolone 40mg injection (pdr for recon)+diluent ... ,"3","0"
y02Zg,Methylprednisol 1g inj pdr+dil ... Methylprednisolone 1g injection (pdr for recon)+diluent ... ,"3","0"
y02Zs,Deltacortril Enteric 2.5mg tab ... Deltacortril Enteric 2.5mg e/c tablet ... ,"3","0"
y02a2,Prednisolone 5mg sol tab ... Prednisolone 5mg soluble tablet ... ,"3","0"
y02a8,Prednisone 5mg tablet ...  ... ,"3","0"
y02aA,Prednisone 20mg tablet ...  ... ,"3","0"
y08Fq,Dexamethasone 500mcg/5mL soln ... Dexamethasone 500micrograms/5mL oral solution ... ,"3","0"
y00t3,Hydrocortisone 1% cream 100g ...  ... ,"3","0"
y00tA,Hydrocortisone 2.5% cream ...  ... ,"3","0"
y00tQ,Hydrocortisone 1% ointment 15g ...  ... ,"3","0"
y0CNV,Azithromycin 500mg tablet ...  ... ,"3","1"
y00uK,Vioform-hydrocortisone crm 30g ... Vioform-hydrocortisone cream 30g ... ,"3","0"
y0AkA,Minims Prednisolone ...  ... ,"3","0"
"43iY.",Cefaclor RAST test ...  ... ,"2","1"
e3zm.,AMOXICILLIN 125mg/5mL syrup ...  ... ,"2","1"
e3zs.,AMOXICILLIN 500mg injection ...  ... ,"2","1"
l369.,*NEO-CORTEF ear drops 10mL ...  ... ,"2","0"
e611.,*DISTACLOR 250mg capsules ...  ... ,"2","1"
e616.,CEFACLOR 250mg/5mL suspension ...  ... ,"2","1"
e68e.,*CEFUROXIME 750mg infusion kit ... CEFUROXIME 750mg with saline infusion kit ... ,"2","1"
e68y.,CEFUROXIME 750mg injection ...  ... ,"2","1"
e691.,CEFALEXIN 250mg capsules ...  ... ,"2","1"
e692.,CEFALEXIN 500mg capsules ...  ... ,"2","1"
e694.,CEFALEXIN 500mg tablets ...  ... ,"2","1"
e91d.,ERYTHROMYCIN LACTOBION 1g i-v ... ERYTHROMYCIN LACTOBION 1g intravenous injection ... ,"2","1"
e91E.,ERYTHROMYCIN 125mg/5mL s/f sus ... ERYTHROMYCIN 125mg/5mL sugar free suspension ... ,"2","1"
e91n.,ERYTHROPED A 500mg tablets ...  ... ,"2","1"
e91u.,ERYTHROMYCIN 125mg/5mL susp ... ERYTHROMYCIN 125mg/5mL suspension ... ,"2","1"
e91Y.,ERYTHROPED FORTE SF suspension ... ERYTHROPED FORTE SF 500mg/5mL sugar free suspension ... ,"2","1"
e929.,CLARITHROMYCIN 500mg m/r tabs ... CLARITHROMYCIN 500mg m/r tablets ... ,"2","1"
e92B.,CLARITHROMYCIN 250mg/sach gran ... CLARITHROMYCIN 250mg/sachet granules ... ,"2","1"
e92E.,KLARICID 250mg/5mL paed susp ... KLARICID 250mg/5mL paediatric suspension ... ,"2","1"
e92H.,*CLARITHROM 187.5mg gran straw ... CLARITHROMYCIN 187.5mg granules straw ... ,"2","1"
e933.,ZITHROMAX 250mg capsules ...  ... ,"2","1"
e936.,ZITHROMAX 40mg/mL susp 30mL ... ZITHROMAX 40mg/mL suspension 30mL ... ,"2","1"
e937.,AZITHROMYCIN 500mg tablets ...  ... ,"2","1"
e95..,ERYTHROMYCIN [2] ...  ... ,"2","1"
k3k..,CIPROFLOXACIN [EYE] ...  ... ,"2","1"
fe31.,DEXAMETHASONE 500mcg tablets ... DEXAMETHASONE 500micrograms tablets ... ,"2","0"
fe3q.,DEXAMETHASONE 3.3mg/1mL inj ... DEXAMETHASONE 3.3mg/1mL solution for injection ... ,"2","0"
fe3s.,DEXAMETHASONE 2mg/5mL s/f soln ... DEXAMETHASONE 2mg/5mL sugar free solution ... ,"2","0"
fe4..,HYDROCORTISONE ...  ... ,"2","0"
fe42.,HYDROCORTISONE 20mg tablets ...  ... ,"2","0"
fe47.,HYDROCORTISONE 500mg injection ...  ... ,"2","0"
fe4d.,HYDROCORTISONE 100mg/1mL inj ... HYDROCORTISONE 100mg/1mL injection ... ,"2","0"
